source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,product_scope,notes
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products?page=2,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products?page=3,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products?page=4,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products?page=5,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products?page=6,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products?page=7,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products?page=8,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/dogs/products/retail-products?page=9,,,Royal Canin,dog,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/cats/products/retail-products,,,Royal Canin,cat,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/cats/products/retail-products?page=2,,,Royal Canin,cat,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/cats/products/retail-products?page=3,,,Royal Canin,cat,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/cats/products/retail-products?page=4,,,Royal Canin,cat,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/cats/products/retail-products?page=5,,,Royal Canin,cat,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
royal canin official gr,https://www.royalcanin.com/gr/cats/products/retail-products?page=6,,,Royal Canin,cat,,official,official_listing_page,GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
gatoskilo retailer,https://www.gatoskilo.gr/981-ksira-trofi-skyloy,,,,dog,dry,retailer,retailer_listing_page,EU/GR,fetch_failed_or_blocked,listing_only,"Source URL was registered, but the site blocked or failed static fetch. Use manually in browser/photo evidence if needed."
gatoskilo retailer,https://www.gatoskilo.gr/725-ksira-trofi-gatas,,,,cat,dry,retailer,retailer_listing_page,EU/GR,listing_registered_no_product_links,listing_only,Listing/source URL registered. No direct product links were safely extracted from static HTML.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,,,,cat,dry,distributor,distributor_listing_page,EU/GR,product_links_discovered,listing_only,29 product links discovered from this source.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-adult-dog/,ADULT DOG,ACANA,cat,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
kompa distributor,https://kompa.gr/en/category/dog/dry-food-dog/,https://kompa.gr/en/product/acana-adult-large-breed/,ADULT LARGE BREED,ACANA,cat,dry,distributor,distributor_listing_page,EU,ready_for_manual_food_match,complete_food_candidate,Product URL discovered from user-supplied source link; use for Food V2 matching and missing-field backfill.
